Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
ParticleSystemDestroyer,4,2,0,2,1,54,5,0,0,0,0,0
PlatformSpecificContent,4,5,0,0,0,97,13,0,0,0.6000000238418579,1,0
BuildTargetGroup,0,0,0,0,0,5,0,0,0,-1,0,1
SimpleActivatorMenu,3,2,0,2,1,32,3,0,0,0,0,0
SimpleMouseRotator,10,2,0,6,0,106,7,0,0,0,1,0
SmoothFollow,5,2,0,0,0,56,3,0,0,1,0,0
TimedObjectActivator,1,4,0,1,0,75,6,0,0,0,3,2
Action,0,0,0,0,0,8,0,0,0,-1,0,6
Entry,3,0,0,3,0,7,0,0,0,-1,1,4
Entries,1,0,0,1,0,5,0,0,0,-1,1,2
EntriesDrawer,2,2,0,0,2,123,11,0,0,0,2,0
TimedObjectDestructor,2,2,0,0,0,21,3,0,0,1,0,0
WaypointCircuit,15,8,2,2,2,209,17,0,0,0,2,5
WaypointList,2,0,0,2,0,6,0,0,0,-1,1,4
RoutePoint,2,1,0,2,1,12,1,0,0,0,0,4
WaypointListDrawer,2,2,0,0,2,158,12,0,0,0,2,0
TransformNameComparer,0,1,0,0,1,7,1,0,0,-1,0,0
WaypointProgressTracker,12,4,3,1,1,146,10,0,0,0,3,0
ProgressStyle,0,0,0,0,0,5,0,0,0,-1,0,1
AutoMobileShaderSwitch,1,1,0,0,0,72,1,0,0,0,0,0
ReplacementDefinition,2,0,0,2,0,6,0,0,0,-1,0,0
ReplacementList,1,0,0,1,0,5,0,0,0,-1,1,0
ReplacementListDrawer,2,2,0,0,2,111,8,0,0,0,0,0
TimedObjectActivator,1,4,0,1,0,75,6,0,0,1,3,0
Action,0,0,0,0,0,8,0,0,0,-1,0,0
Entry,3,0,0,3,0,7,0,0,0,-1,1,0
Entries,1,0,0,1,0,5,0,0,0,-1,1,0
EntriesDrawer,2,2,0,0,2,123,11,0,0,0,2,0
WaypointCircuit,15,8,2,2,2,209,17,0,0,0.5,2,0
WaypointList,2,0,0,2,0,6,0,0,0,-1,1,0
RoutePoint,2,1,0,2,1,12,1,0,0,0,1,0
WaypointListDrawer,2,2,0,0,2,158,12,0,0,0,2,0
TransformNameComparer,0,1,0,0,1,7,1,0,0,-1,0,0
SocketStatus,0,0,0,0,0,6,0,0,0,-1,0,0
DataVersion,4,0,0,4,0,7,0,0,0,-1,0,3
BvhDataHeader,12,0,0,12,0,17,0,0,0,-1,1,0
CalcDataHeader,10,0,0,10,0,15,0,0,0,-1,1,0
OptDataHeader,10,0,0,10,0,15,0,0,0,-1,1,0
SensorCombinationModes,0,0,0,0,0,6,0,0,0,-1,0,0
NeuronDataReader,1,12,0,0,11,79,12,0,0,0,0,0
MicRecorder,11,5,0,5,4,98,11,0,0,0,1,0
SendToGoogle,7,4,1,3,2,104,7,0,0,0,1,1
LanguageEnum,0,0,0,0,0,10,0,0,0,-1,0,1
CrossPlatformInitialize,2,7,0,0,0,139,13,0,0,0,0,0
GlobalScripts,6,3,0,2,0,86,11,0,0,0.6700000166893005,0,0
AntialiasingEditor,9,2,0,0,1,68,4,0,0,0,2,0
BloomAndFlaresEditor,20,2,0,0,1,150,10,0,0,0,1,0
BloomEditor,22,2,0,0,1,155,9,0,0,0,1,0
CameraMotionBlurEditor,15,2,0,0,1,92,6,0,0,0,1,0
ColorCorrectionCurvesEditor,15,5,0,0,1,117,11,0,0,0,1,0
ColorCorrectionLookupEditor,2,2,0,0,1,83,8,0,0,0,1,0
DepthOfFieldDeprecatedEditor,23,2,0,0,1,142,8,0,0,0,1,0
DepthOfFieldEditor,17,2,0,0,1,96,5,0,0,0,1,0
EdgeDetectionEditor,9,2,0,0,1,65,3,0,0,0,0,0
NoiseAndGrainEditor,14,2,0,0,1,104,7,0,0,0,1,0
SunShaftsEditor,11,2,0,0,1,98,6,0,0,0,1,0
TonemappingEditor,8,2,0,0,1,74,5,0,0,0,2,0
VignetteAndChromaticAberrationEditor,9,2,0,0,1,55,4,0,0,0,0,0
