Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
IndexValue,2,2,0,2,2,15,2,0,0,0,0,1
DomIndexFeatures,0,0,0,0,0,16,0,0,0,-1,0,1
IDomIndexProvider,0,1,0,0,0,8,1,3,0,-1,0,4
DomIndexRanged,2,14,6,0,8,406,29,0,1,0.2899999916553497,7,1
IDomIndex,0,5,1,0,0,65,5,3,0,-1,1,7
CharacterEqualityComparer,0,3,0,0,3,60,3,1,0,-1,0,0
CaseSensitiveCharacterEqualityComparer,0,2,0,0,2,39,2,0,1,-1,0,0
QuotingRule,0,0,0,0,0,15,0,0,0,-1,0,3
PseudoSelectorFilter,0,2,0,0,2,36,2,9,1,-1,1,0
IPseudoSelector,0,0,4,0,0,36,0,3,0,-1,0,3
PseudoSelectorChild,0,2,0,0,2,40,2,8,1,-1,2,0
PseudoSelector,1,6,5,0,0,297,15,10,1,0.3300000131130219,4,0
IPseudoSelectorChild,0,2,0,0,0,30,2,2,1,-1,2,1
IPseudoSelectorFilter,0,1,0,0,0,17,1,8,1,-1,0,1
IndexOperationType,0,0,0,0,0,15,0,0,0,-1,0,2
IndexOperation,3,0,0,3,0,6,0,0,0,-1,2,1
AttributeSelectors,0,2,0,0,1,128,4,0,0,-1,5,1
PseudoSelectors,1,12,1,0,8,261,22,0,0,0.1700000017881393,5,2
SelectorType,0,0,0,0,0,41,0,0,0,-1,0,7
AttributeSelectorType,0,0,0,0,0,39,0,0,0,-1,0,4
CombinatorType,0,0,0,0,0,21,0,0,0,-1,0,4
TraversalType,0,0,0,0,0,28,0,0,0,-1,0,4
PseudoClassType,0,0,0,0,0,109,0,0,0,-1,0,0
SelectorParser,5,12,1,0,2,485,24,0,0,0.1700000017881393,12,1
SelectorClause,4,8,25,0,6,521,19,0,0,0.6200000047683716,5,5
MatchElement,0,3,2,0,2,18,3,0,0,-1,1,1
NthChildMatcher,10,24,3,0,13,826,47,0,0,0.07999999821186066,9,5
CacheInfo,4,1,0,4,1,36,1,0,0,0,1,1
SelectorEngine,2,19,2,0,4,880,76,0,0,0.1599999964237213,26,1
IndexMode,0,0,0,0,0,6,0,0,0,-1,0,0
Selector,1,23,4,0,21,564,35,0,0,0.5699999928474426,9,7
RegexExtension,3,3,4,0,1,140,6,0,2,0.6700000166893005,4,0
Modes,0,0,0,0,0,6,0,0,0,-1,0,1
Contains,0,4,2,0,2,116,9,0,2,-1,5,0
Lang,0,1,0,0,1,32,1,0,2,-1,1,0
Hidden,0,1,0,0,1,21,1,0,2,-1,2,0
Visible,0,3,0,0,2,79,9,0,2,-1,5,1
LastOfType,0,2,0,0,2,48,4,0,2,-1,3,0
FirstOfType,0,2,0,0,2,48,4,0,2,-1,3,0
OnlyChild,0,3,0,0,2,53,5,0,2,-1,4,0
FirstChild,0,2,0,0,2,42,3,0,2,-1,2,0
LastChild,0,2,0,0,2,42,3,0,2,-1,3,0
Not,0,2,2,0,1,72,3,0,2,-1,2,0
Has,1,2,3,0,1,150,9,0,2,0,2,0
Last,0,1,0,0,1,23,2,0,2,-1,1,0
First,0,1,0,0,1,23,2,0,2,-1,1,0
Even,0,1,0,0,1,28,3,0,2,-1,0,0
Odd,0,1,0,0,1,27,3,0,2,-1,0,0
Indexed,2,1,3,0,1,71,1,3,2,0,0,0
Gt,0,2,0,0,1,32,4,0,3,-1,0,0
Lt,0,2,0,0,1,32,4,0,3,-1,0,0
Eq,0,2,0,0,1,49,6,0,3,-1,1,0
OnlyOfType,0,3,0,0,2,65,5,0,2,-1,3,0
Header,0,1,0,0,1,23,1,0,2,-1,1,0
Parent,0,1,0,0,1,24,1,0,2,-1,2,0
Empty,0,2,0,0,2,53,3,0,2,-1,3,1
NthLastOfType,0,2,0,0,2,38,2,0,1,-1,4,0
NthChildSelector,1,2,3,0,2,85,2,4,2,1,3,0
NthLastChild,0,2,0,0,2,37,2,0,3,-1,4,0
NthOfType,0,2,0,0,2,39,2,0,3,-1,4,0
NthChild,0,2,0,0,2,41,2,0,3,-1,4,0
AssociationType,0,0,0,0,0,20,0,0,0,-1,0,2
OperationType,0,0,0,0,0,27,0,0,0,-1,0,2
Equations,0,13,0,0,13,172,17,0,0,-1,8,6
IClause,0,1,0,0,0,18,1,0,1,-1,0,0
IEquation,0,12,2,0,0,178,12,2,1,-1,0,4
IEquationParser,0,5,1,0,0,11,5,1,0,-1,1,1
IFunction,0,2,5,0,0,17,2,10,1,-1,0,5
ILiteral,0,4,0,0,0,9,4,2,1,-1,0,6
"OrderedDictionary<TKey,TValue>",0,0,0,0,0,4,0,0,1,-1,0,0
"OrderedDictionary<T,TKey,TValue>",3,24,7,0,20,318,35,0,0,0.5400000214576721,0,0
INativeOperation,0,0,0,0,0,3,0,1,2,-1,0,1
IOperand,0,2,3,0,0,11,2,6,0,-1,0,18
IOperation,0,2,1,0,0,11,2,5,2,-1,1,2
IOperator,0,4,3,0,0,11,4,1,0,-1,0,2
IOrderedDictionary,0,1,0,0,0,16,1,1,0,-1,0,1
IVariable,0,2,3,0,0,19,2,2,1,-1,0,9
IVariableContainer,0,0,1,0,0,4,0,4,0,-1,0,1
Equation,2,17,4,0,11,324,23,1,2,0.4099999964237213,6,4
EquationParserEngine,5,8,3,0,4,275,20,0,1,0.25,15,0
Equation<T>,0,16,1,0,8,142,21,0,3,-1,4,0
Function,1,6,8,0,5,166,7,3,2,0.8299999833106995,3,1
Function<T>,0,3,1,0,2,25,3,0,3,-1,1,0
IntegerValue,0,34,0,0,34,172,34,0,1,-1,0,0
Literal,1,8,0,0,5,64,8,1,2,0.6200000047683716,3,3
Literal<T>,0,8,1,0,4,83,8,0,3,-1,2,0
Operand,6,25,6,0,18,234,28,5,1,0.3600000143051147,2,1
