Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
DISCOVERY_RESULT,0,0,0,0,0,24,0,0,0,-1,0,5
REM_DEV_INFO_RETURN_CODE,0,0,0,0,0,19,0,0,0,-1,0,5
BOND_RETURN_CODE,0,0,0,0,0,11,0,0,0,-1,0,5
BOND_RETURN_CODE__BTW,0,0,0,0,0,11,0,0,0,-1,0,0
BOND_RETURN_CODE__WCE,0,0,0,0,0,7,0,0,0,-1,0,1
STACK_STATUS,0,0,0,0,0,23,0,0,0,-1,0,1
WidcommBtInterface,8,40,0,0,5,562,51,0,0,0.1000000014901161,24,11
WidcommInquiry,2,6,0,0,0,51,7,0,0,0.5,4,1
SdpSearchScope,0,0,0,0,0,5,0,0,0,-1,0,8
ServiceDiscoveryParams,3,1,0,0,0,16,2,0,0,0,2,6
WidcommL2CapClient,2,17,1,0,6,271,17,0,2,0.7099999785423279,16,4
MyL2CapEvent,0,0,0,0,0,8,0,0,0,-1,0,1
WidcommL2CapStream,1,3,0,0,0,21,4,0,1,0.6700000166893005,5,1
WidcommL2CapListener,4,11,1,0,1,132,13,0,2,0.2700000107288361,19,1
WidcommNativeBits,1,0,0,0,0,12,0,0,0,-1,0,0
SDK_RETURN_CODE,0,0,0,0,0,31,0,0,0,-1,0,4
RemoteDeviceState,0,0,0,0,0,7,0,0,0,-1,0,1
WidcommPlaying,1,4,1,0,3,88,8,0,0,0.5,8,0
WidcommPortSingleThreader,3,6,1,0,4,372,9,0,0,0,4,7
StCommand,3,5,1,0,0,67,7,4,0,0,2,2
ExitCommand,0,1,0,0,0,6,1,0,1,-1,0,1
PortCommand,1,1,1,0,1,10,1,5,1,0,1,4
PortWriteCommand,4,4,0,0,1,30,4,0,2,0.5,3,1
PortCreateCommand,0,2,0,0,1,12,2,0,2,-1,1,1
OpenServerCommand,2,3,0,0,2,22,3,0,2,0,3,1
OpenClientCommand,3,3,0,0,2,24,3,0,2,0,3,1
PortCloseCommand,1,3,0,0,2,20,3,0,2,0.6700000166893005,3,1
MiscNoReturnCommand,1,2,0,0,1,14,2,0,1,0,0,5
MiscReturnCommand<TResult>,2,3,0,0,2,21,3,0,1,0,1,0
WidcommRfCommIf,1,5,1,0,5,60,7,0,1,0,2,0
WidcommRfcommInterface,1,7,0,0,2,63,11,0,0,0,6,3
WidcommRfcommPort,4,10,1,0,8,129,16,0,1,0.2000000029802322,8,1
WidcommRfcommStream,0,1,0,0,0,7,1,0,1,-1,3,1
WidcommRfcommStreamBase,10,23,1,0,0,400,51,2,1,0,24,7
IsConnectedResult,2,0,0,2,0,5,0,0,0,-1,1,1
WidcommSdpServiceCreator,11,10,0,0,1,243,23,0,1,0,14,1
WidcommSerialPort,0,6,3,0,3,53,6,1,0,-1,5,0
WidcommSocketExceptions,0,5,0,0,0,36,5,0,0,-1,10,3
GenericReturnCodeWidcommSocketException<T>,3,4,1,0,1,61,5,0,1,0,1,0
REM_DEV_INFO_RETURN_CODE_WidcommSocketException,0,2,0,0,0,18,2,0,0,-1,1,1
PORT_RETURN_CODE_WidcommSocketException,0,2,0,0,0,18,2,0,0,-1,1,1
DISCOVERY_RESULT_WidcommSocketException,0,2,0,0,0,18,2,0,0,-1,1,1
SDP_RETURN_CODE_WidcommSocketException,0,2,0,0,0,18,2,0,0,-1,1,1
WidcommSppClient,15,9,3,0,0,383,21,0,1,0.2199999988079071,13,1
SPP_STATE_CODE,0,0,0,0,0,39,0,0,0,-1,0,3
SPP_STATE_CODE__WCE,0,0,0,0,0,11,0,0,0,-1,0,0
SPP_CLIENT_RETURN_CODE,0,0,0,0,0,39,0,0,0,-1,0,3
SPP_CLIENT_RETURN_CODE__WCE,0,0,0,0,0,10,0,0,0,-1,0,0
WidcommSppSocketExceptions,2,2,0,0,0,17,2,0,0,0,4,1
SPP_STATE_CODE_WidcommSocketException,0,2,0,0,0,18,2,0,0,-1,1,1
SPP_CLIENT_RETURN_CODE_WidcommSocketException,0,2,0,0,0,18,2,0,0,-1,1,1
WidcommStBtIf,2,24,0,0,24,221,26,0,1,0,17,0
HoldStackDevice,2,0,0,2,0,4,0,0,0,-1,0,1
HoldConnoDisco,2,0,0,2,0,4,0,0,0,-1,0,1
WidcommStRfCommIf,2,6,1,0,6,62,6,0,1,0,5,1
WidcommStructs,4,0,0,0,0,12,0,0,0,-1,0,5
REM_DEV_INFO,5,0,0,0,0,13,0,0,0,-1,0,5
DEV_VER_INFO,6,3,0,0,1,41,3,0,0,0,3,8
tBT_CONN_STATS,5,0,0,5,0,8,0,0,0,-1,0,3
WBtRc,0,0,0,0,0,307,0,0,0,-1,0,4
WidcommUtils,1,11,0,0,0,134,23,0,0,0.6399999856948853,5,14
BLOB,2,1,0,2,0,11,1,0,0,0,0,3
BlobOffsets,3,1,0,2,1,30,2,0,0,0,1,1
BLUETOOTH_DEVICE_INFO,9,3,2,0,2,113,7,0,0,0,4,11
BLUETOOTH_FIND_RADIO_PARAMS,1,0,0,1,0,4,0,0,0,-1,0,2
BLUETOOTH_RADIO_INFO,7,0,0,0,0,19,0,0,0,-1,0,2
BTHNS_BLOB,1,3,1,0,1,46,4,1,0,0,0,1
BTHNS_INQUIRYBLOB,3,0,0,0,0,7,0,0,0,-1,0,1
BTHNS_RESULT,0,0,0,0,0,8,0,0,0,-1,0,1
BTHNS_SETBLOB,9,3,2,0,2,145,7,0,1,0,2,1
BTH_DEVICE_INFO,4,0,0,0,0,21,0,0,0,-1,1,5
BTH_RADIO_INFO,4,4,0,0,2,39,4,0,0,0,4,2
CSADDR_INFO,6,2,0,0,2,71,6,0,0,0,1,1
CsaddrInfoOffsets,3,1,0,2,1,36,2,0,0,0,1,1
MicrosoftSdpService,0,2,0,0,2,91,2,0,0,-1,9,1
NativeMethods,7,45,0,0,0,806,45,0,0,0.2899999916553497,15,8
BTH_ERROR,0,0,0,0,0,69,0,0,0,-1,0,0
SDP_STRING_TYPE_DATA,3,1,0,0,0,13,1,0,0,0,0,0
DIGCF,0,0,0,0,0,7,0,0,0,-1,0,2
SPDRP,0,0,0,0,0,5,0,0,0,-1,0,0
SP_DEVINFO_DATA,4,0,0,0,0,8,0,0,0,-1,0,2
MsftWin32BthIOCTL,21,0,0,0,0,117,0,0,0,-1,0,2
WSAESETSERVICEOP,0,0,0,0,0,22,0,0,0,-1,0,2
LookupFlags,0,0,0,0,0,10,0,0,0,-1,0,3
WinCeScanMask,0,0,0,0,0,7,0,0,0,-1,0,0
SocketBluetoothClient,9,31,14,0,10,1207,62,0,1,0.3199999928474426,26,3
DiscoDevsParamsWithLive,2,1,0,0,1,17,1,0,1,0,0,1
MsftSocketOptionHelper,4,2,2,0,1,108,3,0,1,1,2,2
WindowsBluetoothDeviceInfo,3,21,11,0,15,1229,32,0,1,0.3300000131130219,19,4
WindowsBluetoothListener,11,35,8,0,21,1053,54,0,1,0.05999999865889549,13,1
WindowsBluetoothRadio,7,6,17,0,1,508,20,0,1,0.5,14,1
LOCAL_FLAGS,0,0,0,0,0,7,0,0,0,-1,0,1
WindowsBluetoothSecurity,1,9,0,0,7,482,25,0,1,0.8899999856948853,5,1
WindowsRadioHandle,0,3,0,0,0,21,3,0,0,-1,1,2
WSAQUERYSET,15,0,0,8,0,29,0,0,0,-1,0,4
WqsOffset,8,1,0,7,1,38,2,0,0,0,1,3
BLUETOOTH_COD_PAIRS,2,0,0,0,0,7,0,0,0,-1,0,0
SocketsBluetoothFactory,1,11,0,0,1,62,13,0,1,1,9,0
BluetoothDeviceInfoProperties,0,0,0,0,0,66,0,0,0,-1,0,6
BDIFMasks,3,0,0,3,0,16,0,0,0,-1,1,1
BluetoothAuthenticationMethod,0,0,0,0,0,23,0,0,0,-1,0,6
BluetoothAuthenticationRequirements,0,0,0,0,0,33,0,0,0,-1,0,4
BluetoothComponent,1,9,0,0,3,227,15,0,0,0.2199999988079071,4,1
BluetoothFactoryConfig,7,4,4,0,0,243,8,0,0,0.75,1,3
Values,2,0,0,2,0,7,0,0,0,-1,0,1
BluetoothFactorySection,3,3,6,0,1,86,5,0,0,1,2,0
BluetoothStackConfigElement,0,2,1,0,0,26,2,0,0,-1,0,2
BluetoothStackCollection,0,3,0,0,0,26,4,0,0,-1,2,1
BluetoothIoCapability,0,0,0,0,0,24,0,0,0,-1,0,2
BluetoothPublicFactory,1,16,1,0,15,347,16,0,0,0.25,9,3
BluetoothRadio,2,5,20,0,3,419,7,0,0,0.6000000238418579,3,3
BluetoothSecurity,1,8,0,0,7,236,16,0,0,0,3,0
BluetoothService,98,10,0,98,9,602,13,0,0,0,0,12
BluetoothWin32Authentication,11,12,0,3,3,535,29,0,0,0,12,2
BluetoothAuthenticationRegistrationHandle,4,3,0,0,1,45,3,0,0,1,1,2
BluetoothWin32AuthenticationEventArgs,15,7,17,1,3,407,12,0,0,0.5699999928474426,6,1
BLUETOOTH_AUTHENTICATION_CALLBACK_PARAMS,5,1,0,0,0,40,1,0,0,0,4,2
BLUETOOTH_AUTHENTICATE_RESPONSE__PIN_INFO,5,0,0,0,0,10,0,0,0,-1,2,2
BLUETOOTH_AUTHENTICATE_RESPONSE__OOB_DATA_INFO,4,0,0,0,0,8,0,0,0,-1,2,2
BLUETOOTH_AUTHENTICATE_RESPONSE__NUMERIC_COMPARISON_PASSKEY_INFO,5,0,0,0,0,10,0,0,0,-1,1,2
BLUETOOTH_PIN_INFO,3,0,0,0,0,9,0,0,0,-1,0,2
BLUETOOTH_OOB_DATA_INFO,2,1,0,0,0,13,1,0,0,0,0,2
BluetoothWin32RadioEventArgs,2,1,2,0,0,27,1,2,0,0,3,0
BluetoothWin32RadioOutOfRangeEventArgs,0,3,0,0,1,28,3,0,1,-1,2,1
BluetoothWin32RadioInRangeEventArgs,2,3,5,0,1,77,3,0,1,0.6700000166893005,3,2
BluetoothWin32Events,7,21,0,0,4,972,41,0,0,0.1400000005960464,21,2
RegisterDeviceNotificationSafeHandle,0,3,0,0,1,21,3,0,0,-1,1,1
BtEventsForm,2,4,0,0,0,51,6,0,0,0.5,5,1
BluetoothDeviceNotificationEvent,9,0,0,9,0,40,0,0,0,-1,0,1
BTH_RADIO_IN_RANGE,2,0,0,0,0,5,0,0,0,-1,2,2
BTH_RADIO_OUT_OF_RANGE,1,0,0,0,0,4,0,0,0,-1,0,2
BTH_L2CAP_EVENT_INFO,4,1,0,0,0,37,1,0,0,0,0,1
HCI_CONNNECTION_TYPE,0,0,0,0,0,6,0,0,0,-1,0,1
BTH_HCI_EVENT_INFO,3,1,0,0,0,28,1,0,0,0,1,1
RegisterDeviceNotificationFlags,0,0,0,0,0,6,0,0,0,-1,0,2
UnsafeNativeMethods,0,2,0,0,0,23,2,0,0,-1,2,2
WindowMessageId,0,0,0,0,0,6,0,0,0,-1,0,1
Dbt,0,0,0,0,0,53,0,0,0,-1,0,1
DbtDevTyp,0,0,0,0,0,31,0,0,0,-1,0,4
DEV_BROADCAST_HDR,3,0,0,0,0,6,0,0,0,-1,1,5
DEV_BROADCAST_PORT,2,0,0,0,0,8,0,0,0,-1,1,2
DEV_BROADCAST_HANDLE,9,2,0,1,1,50,3,0,0,0,2,3
DEV_BROADCAST_HANDLE__withData,6,1,0,1,0,21,1,0,0,0,1,1
ShutUpCompiler,0,1,0,0,0,33,1,0,0,-1,6,0
ClassOfDevice,1,6,5,0,6,193,7,0,0,0.3300000131130219,2,6
DeviceClass,0,0,0,0,0,187,0,0,0,-1,0,2
DeviceClass_Masks,3,0,0,3,0,8,0,0,0,-1,1,0
DiscoverDevicesEventArgs,1,2,1,0,2,46,3,0,0,1,1,2
HardwareStatus,0,0,0,0,0,38,0,0,0,-1,0,0
HciVersion,0,0,0,0,0,50,0,0,0,-1,0,6
LmpVersion,0,0,0,0,0,50,0,0,0,-1,0,5
LinkPolicy,0,0,0,0,0,27,0,0,0,-1,0,0
LmpExtendedFeatures,0,0,0,0,0,16,0,0,0,-1,0,0
LmpFeatures,0,0,0,0,0,157,0,0,0,-1,0,6
LmpFeaturesUtils,0,3,0,0,0,58,4,0,0,-1,1,1
Manufacturer,0,0,0,0,0,153,0,0,0,-1,0,7
NullBluetoothFactory,0,11,1,0,0,152,11,0,1,-1,8,2
NullRadio,0,1,15,0,1,81,1,0,1,-1,0,1
NullBtCli,0,8,0,0,4,42,8,0,2,-1,4,1
NullBtListener,3,9,2,0,0,97,11,0,2,0.6700000166893005,8,1
LsnrSetting,0,0,0,0,0,7,0,0,0,-1,0,1
LsnrCommands,0,1,2,0,1,15,1,0,0,-1,0,2
NullRfcommStream,1,12,0,0,0,71,13,0,1,0.8299999833106995,3,1
RadioMode,0,0,0,0,0,15,0,0,0,-1,0,0
RadioModes,0,0,0,0,0,84,0,0,0,-1,0,0
RadioVersions,1,1,4,0,1,62,1,0,0,0,3,4
ServiceClass,0,0,0,0,0,45,0,0,0,-1,0,4
ServiceAttributeId,0,0,0,0,0,5,0,0,0,-1,0,21
AttributeIdLookup,0,4,0,0,2,181,14,0,0,-1,3,1
StringWithLanguageBaseAttribute,0,1,0,0,1,11,1,0,0,-1,0,2
BluetoothProtocolDescriptorType,0,0,0,0,0,19,0,0,0,-1,0,7
ElementTypeDescriptor,0,0,0,0,0,14,0,0,0,-1,0,8
SizeIndex,0,0,0,0,0,12,0,0,0,-1,0,3
ElementType,0,0,0,0,0,59,0,0,0,-1,0,13
LanguageBaseItem,12,13,6,8,11,541,26,0,0,0.6200000047683716,4,6
IetfCharsetIdToDotNetEncodingNameMap,2,1,0,2,0,12,1,0,0,0,0,1
MapServiceClassToAttributeIdList,1,4,0,0,2,176,12,0,0,0.5,7,1
ServiceClassToIdsMapRow,2,1,0,2,1,11,1,0,0,0,0,1
ServiceAttribute,2,2,3,0,2,81,2,0,0,1,2,8
ServiceElement,11,16,3,7,11,757,34,0,0,0.25,5,12
ServiceRecord,5,19,3,3,16,803,33,0,0,0.3700000047683716,9,21
ServiceRecordEnumerator,2,4,2,0,3,64,7,0,0,0,1,1
ServiceRecordBuilder,10,17,5,0,13,632,34,0,0,0.2899999916553497,9,6
BtPdlItem,3,1,0,0,0,11,1,0,0,0,0,0
ServiceRecordCreator,1,23,0,1,2,454,32,1,0,0,11,2
HeaderWriteState,5,1,0,4,0,25,1,0,0,0,3,2
ServiceRecordHelper,0,17,0,0,10,474,39,0,0,-1,9,8
