Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
NativeCodeLoader,2,7,0,0,6,82,9,0,0,0.8600000143051147,2,33
NativeCrc32,2,8,0,2,5,120,8,0,0,0.75,1,2
NativeLibraryChecker,0,1,0,0,1,103,13,0,0,-1,9,1
Options,0,2,0,0,2,172,4,0,0,-1,0,5
StringOption,1,2,0,0,1,14,2,0,0,0,0,0
ClassOption,1,2,0,0,1,14,2,1,0,0,0,0
BooleanOption,1,2,0,0,1,14,2,0,0,0,0,0
IntegerOption,1,2,0,0,1,14,2,0,0,0,0,0
LongOption,1,2,0,0,1,14,2,0,0,0,0,0
PathOption,1,2,0,0,1,14,2,0,0,0,1,0
FSDataInputStreamOption,1,2,0,0,1,14,2,0,0,0,1,0
FSDataOutputStreamOption,1,2,0,0,1,14,2,0,0,0,1,0
ProgressableOption,1,2,0,0,1,14,2,0,0,0,1,0
PerformanceAdvisory,1,0,0,1,0,5,0,0,0,-1,0,5
PrintJarMainClass,0,1,0,0,1,29,1,0,0,-1,0,0
PriorityQueue<T>,3,11,0,0,7,178,19,0,0,0.2700000107288361,0,0
ProgramDriver,1,5,0,0,4,131,10,0,0,0,1,1
ProgramDescription,3,3,0,0,3,40,3,0,0,0,0,1
Progress,9,20,0,0,14,336,22,0,0,0.1000000014901161,0,2
Progressable,0,1,0,0,0,5,1,3,0,-1,0,37
ProtoUtil,0,7,0,0,6,206,18,0,0,-1,5,6
PureJavaCrc32,2,5,0,0,5,865,7,0,0,0,0,2
PureJavaCrc32C,10,5,0,0,5,887,7,0,0,0,0,0
QuickSort,1,6,0,0,3,146,25,0,1,0.3300000131130219,3,1
RunJar,5,9,0,5,4,273,20,0,0,0,3,1
_Runnable_201,1,2,0,0,2,14,2,0,0,0,1,0
SequentialNumber,1,7,0,0,6,63,11,0,0,0,0,0
ServicePlugin,0,2,0,0,0,10,2,0,0,-1,0,0
ServletUtil,1,8,0,1,8,117,10,0,0,0.8799999952316284,0,1
Shell,32,41,0,20,30,985,61,2,0,0.1500000059604645,6,31
OSType,0,0,0,0,0,9,0,0,0,-1,0,1
_Thread_506,2,2,0,0,2,30,3,0,0,0,1,0
ExitCodeException,1,3,0,0,3,24,3,0,0,0,0,2
CommandExecutor,0,4,0,0,0,13,4,1,0,-1,0,0
ShellCommandExecutor,2,10,0,0,8,114,15,0,1,0.5,0,3
ShellTimeoutTimerTask,1,2,0,0,2,29,2,0,0,0,1,1
ShutdownHookManager,4,8,0,0,5,178,12,0,0,0.3799999952316284,1,10
_Thread_48,0,2,0,0,2,24,3,0,0,-1,1,0
HookEntry,2,3,0,0,3,30,5,0,0,0,0,2
_IComparer_124,0,2,0,0,2,12,2,0,0,-1,1,0
ShutdownThreadsHelper,2,4,0,0,4,101,7,0,0,0,0,2
SignalLogger,2,2,0,1,1,65,4,0,0,1,1,2
Handler,2,2,0,0,1,20,2,0,0,0,1,0
StopWatch,3,9,0,0,9,80,12,0,0,0.2199999988079071,0,4
StringInterner,2,3,0,0,2,56,5,0,0,0,0,2
StringUtils,8,50,0,8,47,1196,111,0,0,0.5799999833106995,7,82
_Runnable_673,3,2,0,0,2,21,2,0,0,0,2,0
TraditionalBinaryPrefix,10,4,0,10,3,151,11,0,0,0,1,7
ThreadUtil,1,1,0,0,1,32,2,0,0,0,1,1
Time,0,2,0,0,2,34,2,0,0,-1,0,63
Timer,0,2,0,0,2,31,2,1,0,-1,1,6
Tool,0,1,0,0,0,8,1,9,1,-1,0,1
ToolRunner,0,4,0,0,4,102,9,0,0,-1,3,16
UTF8ByteArrayUtils,0,4,0,0,4,82,12,0,0,-1,0,0
VersionInfo,3,20,0,0,10,159,21,0,0,0,2,3
VersionUtil,0,1,0,0,1,18,1,0,0,-1,1,1
Waitable<T>,2,5,0,0,5,38,6,0,0,0,0,0
XMLUtils,0,1,0,0,1,21,1,0,0,-1,0,0
ZKUtil,0,5,0,0,4,227,15,0,0,-1,0,3
ZKAuthInfo,2,3,0,0,3,23,3,0,0,0,0,2
BadAclFormatException,1,1,0,0,1,10,1,0,1,0,0,1
BadAuthFormatException,1,1,0,0,1,10,1,0,1,0,0,0
Configurable,0,2,0,0,0,8,2,23,0,-1,1,4
Configuration,22,114,0,0,92,3383,249,3,1,0.03999999910593033,19,254
Resource,2,5,0,0,5,32,5,0,0,0,0,1
DeprecatedKeyInfo,3,4,0,0,1,56,7,0,0,0.5,0,1
DeprecationDelta,3,6,0,0,5,43,6,0,0,0,0,2
DeprecationContext,2,3,0,0,0,68,9,0,0,0,1,1
ParsedTimeDuration,7,4,0,7,0,53,8,0,0,0.5,0,1
IntegerRanges,1,7,0,0,6,171,16,0,0,0.2899999916553497,2,2
Range,2,0,0,0,0,6,0,0,0,-1,0,2
RangeNumberIterator,3,4,0,0,4,63,7,0,0,0.5,1,1
NegativeCacheSentinel,0,0,0,0,0,3,0,0,0,-1,0,0
Configured,1,4,0,0,4,28,4,26,1,0.5,1,1
ConfServlet,4,3,0,0,0,96,7,0,0,0,3,3
BadFormatException,1,1,0,0,1,10,1,0,0,0,0,1
Reconfigurable,0,3,0,0,0,28,3,1,1,-1,0,1
ReconfigurableBase,8,11,0,0,10,235,12,2,2,0.3600000143051147,4,2
ReconfigurationThread,1,2,0,0,1,50,4,0,0,0,5,0
ReconfigurationException,4,7,0,0,6,85,9,0,0,0,0,1
ReconfigurationServlet,3,9,0,1,1,193,12,0,0,0.2199999988079071,5,0
ReconfigurationTaskStatus,3,6,0,0,6,52,6,0,0,0,0,2
ReconfigurationUtil,0,2,0,0,2,54,6,0,0,-1,1,3
PropertyChange,3,1,0,3,1,15,1,0,0,0,0,3
AesCtrCryptoCodec,2,2,0,0,2,42,4,2,1,1,1,0
CipherOption,5,7,0,0,7,52,7,0,0,0,1,0
CipherSuite,5,8,0,2,7,96,12,0,0,0,1,11
CryptoCodec,1,10,0,1,9,155,16,1,1,0.699999988079071,5,12
CryptoInputStream,18,42,0,0,25,850,72,0,1,0.2099999934434891,11,4
CryptoOutputStream,13,18,0,0,13,328,25,0,1,0.1700000017881393,6,4
CryptoProtocolVersion,6,8,0,2,7,80,11,0,0,0.25,0,1
CryptoStreamUtils,1,5,0,0,5,54,8,0,0,1,5,2
Decryptor,0,3,0,0,0,55,3,2,0,-1,0,2
Encryptor,0,3,0,0,0,51,3,2,0,-1,0,2
JceAesCtrCryptoCodec,4,6,0,0,6,144,6,0,2,0.3300000131130219,3,2
JceAesCtrCipher,3,6,0,0,5,85,8,0,1,0,1,1
OpensslAesCtrCryptoCodec,3,6,0,0,6,144,7,0,2,0.6700000166893005,5,1
OpensslAesCtrCipher,3,6,0,0,5,71,7,0,1,0,2,1
OpensslCipher,7,17,0,2,7,304,22,0,0,0.2899999916553497,4,8
AlgMode,1,1,0,1,0,19,1,0,0,0,1,1
Padding,1,1,0,1,0,19,1,0,0,0,1,1
Transform,3,1,0,0,1,15,1,0,0,0,0,1
UnsupportedCodecException,1,4,0,0,4,38,4,0,0,1,0,0
CachingKeyProvider,0,7,0,0,7,218,7,0,0,-1,4,0
CacheExtension,4,1,0,0,0,87,1,0,1,0,1,4
_CacheLoader_49,1,2,0,0,2,21,3,0,0,0,3,0
_CacheLoader_62,1,2,0,0,2,20,3,0,0,0,3,0
_CacheLoader_75,1,2,0,0,2,21,3,0,0,0,3,0
KeyNotFoundException,0,0,0,0,0,4,0,0,0,-1,0,1
JavaKeyStoreProvider,16,25,0,4,9,787,64,1,1,0,11,4
Factory,0,2,0,0,2,23,4,0,1,-1,3,0
KeyMetadata,2,6,0,0,3,44,6,0,0,0.5,1,1
KeyProvider,5,22,0,4,19,642,28,7,0,0.449999988079071,4,81
KeyVersion,3,5,0,0,4,56,6,1,0,0,0,57
Metadata,12,12,0,0,8,241,23,1,0,0,0,19
Options,4,10,0,0,10,74,12,0,0,0,1,27
KeyProviderCryptoExtension,2,6,0,2,5,437,7,2,0,1,4,38
EncryptedKeyVersion,4,7,0,0,5,131,8,1,0,0.2899999916553497,1,26
CryptoExtension,0,4,0,0,0,62,4,3,1,-1,1,5
DefaultCryptoExtension,2,5,0,0,4,103,5,0,2,0.6000000238418579,8,0
_ThreadLocal_236,0,2,0,0,1,11,2,0,0,-1,0,0
KeyProviderDelegationTokenExtension,1,3,0,0,2,90,3,0,0,1,3,3
DelegationTokenExtension,0,1,0,0,0,15,1,4,1,-1,1,3
DefaultDelegationTokenExtension,0,1,0,0,1,8,1,0,2,-1,1,0
KeyProviderExtension<E>,2,17,0,0,15,116,17,0,1,0,4,0
Extension,0,0,0,0,0,3,0,3,0,-1,0,0
KeyProviderFactory,2,4,0,1,3,73,9,3,0,0,2,5
KeyShell,8,4,0,2,2,653,13,0,2,0.5,10,6
Command,2,7,0,0,3,65,9,4,0,0.5699999928474426,3,1
ListCommand,4,4,0,2,3,71,7,0,1,0.5,4,1
RollCommand,4,4,0,2,4,73,6,0,1,0.5,2,1
DeleteCommand,5,4,0,2,4,86,9,0,1,0.5,3,1
CreateCommand,5,4,0,2,4,85,6,0,1,0.5,3,1
UserProvider,4,11,0,1,10,195,11,0,1,0.2700000107288361,7,2
KMSClientProvider,23,39,0,6,23,1008,73,0,2,0.05000000074505806,22,24
EncryptedQueueRefiller,1,2,0,0,1,35,2,0,1,0,2,0
KMSEncryptedKeyVersion,0,1,0,0,1,9,1,0,1,-1,0,0
Factory,0,2,0,0,1,78,6,0,1,-1,5,1
TimeoutConnConfigurator,2,2,0,0,2,35,3,0,1,0,1,0
_PrivilegedExceptionAction_478,3,2,0,0,2,25,2,0,0,0,2,0
KMSKeyVersion,0,1,0,0,1,7,1,0,1,-1,0,1
KMSMetadata,0,1,0,0,1,8,1,0,1,-1,0,0
_PrivilegedExceptionAction_870,4,2,0,0,2,27,2,0,0,0,1,0
KMSRESTConstants,28,0,0,28,0,58,0,0,0,-1,0,5
LoadBalancingKMSClientProvider,3,24,0,1,19,547,32,0,2,0,11,3
ProviderCallable,0,1,0,0,0,6,1,14,0,-1,1,1
WrapperException,0,1,0,0,1,8,1,0,0,-1,0,1
_ProviderCallable_129,2,2,0,0,2,20,2,0,1,0,2,1
_ProviderCallable_164,1,2,0,0,2,18,2,0,1,0,2,0
_ProviderCallable_181,1,2,0,0,2,18,2,0,1,0,3,0
_ProviderCallable_195,1,2,0,0,2,16,2,0,1,0,2,0
_ProviderCallable_205,0,2,0,0,2,13,2,0,1,-1,1,0
_ProviderCallable_215,1,2,0,0,2,16,2,0,1,0,1,1
_ProviderCallable_225,1,2,0,0,2,16,2,0,1,0,1,0
_ProviderCallable_236,1,2,0,0,2,16,2,0,1,0,2,0
_ProviderCallable_245,1,2,0,0,2,16,2,0,1,0,2,0
_ProviderCallable_256,3,2,0,0,2,23,2,0,1,0,3,0
_ProviderCallable_268,2,2,0,0,2,20,2,0,1,0,3,0
_ProviderCallable_281,1,2,0,0,2,17,2,0,1,0,1,0
_ProviderCallable_292,2,2,0,0,2,19,2,0,1,0,2,0
_ProviderCallable_304,1,2,0,0,2,17,2,0,1,0,2,0
ValueQueue<E>,9,9,0,0,8,390,16,0,0,0.2199999988079071,3,0
QueueRefiller,0,1,0,0,0,12,1,3,0,-1,0,3
NamedRunnable,1,2,0,0,1,11,2,1,0,1,0,1
UniqueKeyBlockingQueue,2,3,0,0,3,41,5,0,0,0,1,1
SyncGenerationPolicy,0,0,0,0,0,6,0,0,0,-1,0,1
_CacheLoader_175,3,2,0,0,2,25,2,0,0,0,1,0
_NamedRunnable_324,2,2,0,0,2,33,3,0,1,0,1,0
TestOpensslSecureRandom,0,6,0,0,5,96,11,0,0,-1,0,0
TestOsSecureRandom,0,8,0,0,6,121,14,0,0,-1,0,0
AbstractFileSystem,7,68,0,0,63,1376,107,6,0,0.5,29,60
_RemoteIterator_887,3,3,0,0,3,29,4,0,1,0,2,1
_RemoteIterator_914,3,3,0,0,3,38,5,0,1,0,6,1
AvroFSInput,2,7,0,0,7,61,7,0,0,0,4,1
"BatchedRemoteIterator<K,E>",3,7,0,0,5,118,10,0,1,0.4300000071525574,1,0
BatchedEntries,0,3,0,0,0,8,3,1,0,-1,0,1
BatchedListEntries<E>,2,4,0,0,4,27,4,0,1,0,0,0
BlockLocation,8,22,0,0,22,251,32,0,0,0,0,12
BufferedFSInputStream,0,9,0,0,9,120,16,0,1,-1,3,1
ByteBufferReadable,0,1,0,0,0,32,1,3,0,-1,0,4
ByteBufferUtil,0,2,0,0,1,92,11,0,0,-1,2,1
CanSetDropBehind,0,1,0,0,0,16,1,7,0,-1,0,4
CanSetReadahead,0,1,0,0,0,13,1,4,0,-1,0,2
CanUnbuffer,0,1,0,0,0,9,1,1,0,-1,0,1
ChecksumException,2,2,0,0,2,18,2,0,0,0,0,3
ChecksumFs,3,20,0,0,17,593,27,1,1,0.550000011920929,10,2
ChecksumFSInputChecker,7,12,0,1,8,244,23,0,1,0,7,0
ChecksumFSOutputSummer,4,4,0,0,2,65,5,0,1,0,8,1
CommonConfigurationKeys,89,0,0,89,0,243,0,3,1,-1,0,71
CommonConfigurationKeysPublic,118,0,0,118,0,615,0,1,0,-1,0,38
ContentSummary,13,21,0,0,19,378,30,1,1,0.1400000005960464,3,11
Builder,8,12,0,0,12,103,15,0,0,0,2,3
CreateFlag,7,5,0,6,3,132,10,0,0,0.4000000059604645,0,14
DelegateToFileSystem,1,29,0,0,27,244,33,3,1,0.07000000029802322,14,0
DelegationTokenRenewer,5,7,0,1,4,302,11,0,0,0.2899999916553497,1,1
Renewable,0,2,0,0,0,9,2,1,0,-1,0,1
RenewAction<T>,4,10,0,0,6,137,13,0,0,0.2000000029802322,2,0
DF,6,15,0,1,11,223,27,1,0,0,1,3
DirectoryListingStartAfterNotFoundException,1,2,0,0,2,15,2,0,0,1,0,0
DU,6,15,0,0,12,232,23,0,0,0.2700000107288361,2,2
DURefreshThread,1,2,0,0,1,37,3,0,0,0,1,0
DUHelper,4,8,0,0,5,96,15,0,0,0.25,0,1
FileAlreadyExistsException,0,2,0,0,2,13,2,0,0,-1,0,4
FileChecksum,0,8,0,0,8,41,10,1,1,-1,0,10
FileContext,15,71,0,5,59,3236,87,0,0,0.1000000014901161,64,42
_PathFilter_212,0,2,0,0,2,12,2,0,1,-1,1,0
_PrivilegedExceptionAction_331,2,2,0,0,2,19,2,0,0,0,2,0
_FSLinkResolver_682,2,2,0,0,2,19,2,0,0,0,4,1
_FSLinkResolver_726,2,2,0,0,2,20,2,0,0,0,3,1
_FSLinkResolver_762,1,2,0,0,2,16,2,0,0,0,2,1
_FSLinkResolver_791,0,2,0,0,2,13,2,0,0,-1,3,1
_FSLinkResolver_822,1,2,0,0,2,16,2,0,0,0,3,1
_FSLinkResolver_865,1,2,0,0,2,16,2,0,0,0,2,1
_FSLinkResolver_896,1,2,0,0,2,16,2,0,0,0,2,1
_FSLinkResolver_965,2,2,0,0,2,20,2,0,0,0,3,1
_FSLinkResolver_997,1,2,0,0,2,17,2,0,0,0,3,1
_FSLinkResolver_1040,2,2,0,0,2,20,2,0,0,0,2,1
_FSLinkResolver_1076,2,2,0,0,2,20,2,0,0,0,2,1
_FSLinkResolver_1109,0,2,0,0,2,13,2,0,0,-1,3,1
_FSLinkResolver_1165,0,2,0,0,2,13,2,0,0,-1,3,1
_FSLinkResolver_1213,1,2,0,0,2,17,2,0,0,0,3,1
_FSLinkResolver_1241,0,2,0,0,2,19,3,0,0,-1,3,1
_FSLinkResolver_1273,0,2,0,0,2,14,2,0,0,-1,3,1
_FSLinkResolver_1317,2,2,0,0,2,19,2,0,0,0,2,1
_FSLinkResolver_1356,0,2,0,0,2,13,2,0,0,-1,3,1
_FSLinkResolver_1454,2,2,0,0,2,20,2,0,0,0,2,1
_FSLinkResolver_1489,0,2,0,0,2,14,2,0,0,-1,3,1
_FSLinkResolver_1507,0,2,0,0,2,13,2,0,0,-1,3,1
_FSLinkResolver_1549,0,2,0,0,2,15,2,0,0,-1,3,1
Util,1,13,0,0,11,665,22,0,0,0.1500000059604645,13,12
_FSLinkResolver_1794,0,2,0,0,2,13,2,0,0,-1,2,1
_RemoteIterator_1837,6,4,0,0,3,139,8,0,1,0,6,1
FileContextFinalizer,0,1,0,0,1,10,1,0,0,-1,0,2
_FSLinkResolver_2189,0,2,0,0,2,13,2,0,0,-1,2,1
_FSLinkResolver_2205,0,2,0,0,2,13,2,0,0,-1,3,1
_FSLinkResolver_2228,1,2,0,0,2,18,2,0,0,0,2,1
_FSLinkResolver_2310,1,2,0,0,2,16,2,0,0,0,2,1
_FSLinkResolver_2331,1,2,0,0,2,16,2,0,0,0,2,1
_FSLinkResolver_2350,0,2,0,0,2,13,2,0,0,-1,2,1
_FSLinkResolver_2370,0,2,0,0,2,13,2,0,0,-1,2,1
_FSLinkResolver_2392,1,2,0,0,2,16,2,0,0,0,2,1
_FSLinkResolver_2411,0,2,0,0,2,12,2,0,0,-1,3,1
_FSLinkResolver_2454,3,2,0,0,2,23,2,0,0,0,2,1
_FSLinkResolver_2478,1,2,0,0,2,15,2,0,0,0,2,1
_FSLinkResolver_2500,0,2,0,0,2,13,2,0,0,-1,2,1
_FSLinkResolver_2524,1,2,0,0,2,16,2,0,0,0,2,1
_FSLinkResolver_2546,1,2,0,0,2,16,2,0,0,0,2,1
_FSLinkResolver_2569,0,2,0,0,2,12,2,0,0,-1,2,1
FileEncryptionInfo,6,8,0,0,8,104,8,0,0,0,2,0
FileStatus,11,31,0,0,28,387,40,3,1,0.05999999865889549,3,124
FileSystemLinkResolver<T>,0,3,0,0,3,95,4,0,0,-1,4,0
FileUtil,2,49,0,1,38,1546,142,0,0,0.3499999940395355,14,35
HardLink,2,6,0,1,4,286,18,0,0,0.6700000166893005,4,2
FilterFs,1,53,0,0,51,376,53,1,1,0,17,1
FsConstants,5,0,0,5,0,16,0,0,0,-1,0,17
FsConstantsConstants,0,0,0,0,0,3,0,0,0,-1,0,0
FSDataInputStream,2,16,0,0,16,222,19,4,1,0.8799999952316284,9,61
FSDataOutputStream,1,10,0,0,10,156,13,2,1,0.5,4,70
PositionCache,2,5,0,0,5,54,8,0,0,0.4000000059604645,1,1
FSError,1,1,0,0,0,10,1,0,0,0,0,0
FSExceptionMessages,3,0,0,3,0,20,0,0,0,-1,0,3
FSInputChecker,14,22,0,1,10,557,32,2,1,0.1800000071525574,3,3
FSInputStream,0,6,0,0,6,65,8,4,1,-1,0,4
FSLinkResolver<T>,0,3,0,0,3,92,4,0,0,-1,6,0
FSOutputSummer,5,16,0,0,4,268,20,2,0,0,1,0
FsServerDefaults,8,13,0,0,12,122,13,0,1,0.2300000041723251,3,16
_WritableFactory_41,0,2,0,0,2,11,2,0,1,-1,1,0
FsShell,6,20,0,0,6,426,41,0,2,0.2000000029802322,10,7
Usage,4,2,0,3,0,33,3,0,1,0,1,0
Help,4,2,0,3,0,31,3,0,1,0,1,0
UnknownCommandException,1,2,1,0,0,23,2,0,0,1,0,0
FsShellPermissions,2,1,0,0,1,182,1,2,1,0,4,1
Chmod,4,2,0,3,0,53,3,0,2,0,6,1
Chown,6,3,0,3,0,77,7,2,2,0.6700000166893005,4,1
Chgrp,4,1,0,3,0,23,2,1,3,0,0,1
FsStatus,3,6,0,0,6,53,6,0,1,0,0,18
FsUrlConnection,2,3,0,0,2,36,4,0,0,0,2,1
