Type,NOF,NOM,NOP,NOPF,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-Out,Fan-In
IanaEncodings,1,3,0,0,2,475,9,0,0,0,1,5
IdelOutputStream,0,5,5,0,5,49,5,0,0,-1,0,0
IdentityComparator<T>,0,2,0,0,2,12,2,0,0,-1,0,0
"IdentityDictionary<TKey,TValue>",0,3,0,0,3,18,3,0,0,-1,0,0
IntHashtable,4,18,0,0,17,375,45,0,0,0.1700000017881393,3,23
Entry,3,5,0,0,3,37,5,0,0,0,1,1
JavaCollectionsUtil,0,17,0,0,17,87,20,0,0,-1,3,88
JavaUtil,3,43,0,3,43,259,68,0,0,0.8600000143051147,2,188
"LinkedDictionary<TKey,TValue>",2,14,4,0,7,294,18,0,0,0.1400000005960464,0,0
ValueCollection,1,8,2,0,7,82,11,0,0,0.5,1,0
Enumerator,2,8,4,0,8,59,8,0,0,0.3799999952316284,0,2
KeyCollection,2,8,2,0,7,80,9,0,0,0.5,1,0
LinkedHashSet<TKey>,2,20,2,0,18,140,35,0,0,0.75,0,0
MathUtil,0,1,0,0,1,7,1,0,0,-1,0,1
MessageFormatUtil,0,1,0,0,1,7,1,0,0,-1,0,165
NumberUtil,0,2,0,0,2,11,2,0,0,-1,0,2
Properties,4,12,2,0,10,210,39,0,0,0,1,3
PushbackReader,2,9,0,0,7,167,21,2,1,0,1,2
ResourceUtil,2,6,0,0,3,208,17,0,0,0.3300000131130219,1,9
SortUtil,0,8,0,0,4,106,24,0,0,-1,0,2
StringOrdinalComparator,0,1,0,0,1,5,1,0,0,-1,0,0
StreamUtil,6,12,0,0,11,277,29,0,0,0.6700000166893005,5,32
StringTokenizer,5,7,0,0,7,76,18,0,0,0,0,9
StringUtil,0,8,0,0,8,62,14,0,0,-1,0,49
SystemUtil,0,9,0,0,7,89,11,0,0,-1,0,12
TextUtil,3,29,0,1,28,283,38,0,0,0.5899999737739563,4,30
UnicodeScript,0,0,0,0,0,516,0,0,0,-1,0,3
UnicodeScriptUtil,3,2,0,2,2,680,5,0,0,0,1,2
UrlUtil,0,6,0,0,6,81,7,0,0,-1,0,21
"EmptyDictionary<TKey,TValue>",0,11,4,0,10,65,11,0,0,-1,0,0
